subject_id,FD_Pass,FD_max_Pass,GM_lower_Pass,GM_upper_Pass,WM_lower_Pass,WM_upper_Pass,CSF_lower_Pass,CSF_upper_Pass,Total_lower_Pass,Total_upper_Pass,Pass
sub-B11714080,False,False,True,True,True,True,True,True,True,True,False
sub-B11934670,True,False,True,True,True,True,True,True,True,True,False
sub-B16516936,True,False,True,True,True,True,True,True,True,True,False
sub-B21775806,True,False,True,True,True,True,True,True,True,True,False
sub-B24629192,True,False,True,True,True,True,True,True,True,True,False
sub-B24787357,True,False,True,True,True,True,True,True,True,True,False
sub-B27981718,False,True,True,True,True,True,True,True,True,True,False
sub-B28636048,True,False,True,True,True,True,True,True,True,True,False
sub-B28849754,False,False,True,True,True,True,True,True,True,True,False
sub-B32299391,True,True,True,False,False,True,True,True,True,True,False
sub-B32326973,True,False,True,True,True,True,True,True,True,True,False
sub-B33578399,False,True,True,True,True,True,True,True,True,True,False
sub-B34436267,False,True,True,True,True,True,True,True,True,True,False
sub-B34569102,True,True,True,True,True,False,True,True,True,True,False
sub-B35413601,True,True,True,True,True,True,True,True,True,False,False
sub-B36284292,False,True,True,True,True,True,True,True,True,True,False
sub-B37283468,False,False,True,True,True,True,True,True,True,True,False
sub-B38613273,True,False,True,True,True,True,True,True,True,True,False
sub-B38881515,False,True,True,True,True,True,True,True,True,True,False
sub-B39638520,True,False,True,True,True,True,True,True,True,True,False
sub-B44218814,True,True,True,True,True,True,True,False,True,True,False
sub-B44795088,False,False,True,True,True,True,True,True,True,True,False
sub-B45504016,False,True,True,True,True,True,True,True,True,True,False
sub-B48647862,True,False,True,True,True,True,True,True,True,True,False
sub-B49156238,True,False,True,True,True,True,True,True,True,True,False
sub-B51095618,False,True,True,True,True,True,True,True,True,True,False
sub-B51427575,True,False,True,True,True,True,True,True,True,True,False
sub-B53514093,True,True,True,True,True,True,True,True,True,False,False
sub-B55440446,True,True,True,True,True,True,True,False,True,True,False
sub-B57296708,False,True,True,True,True,True,True,True,True,True,False
sub-B59753799,True,False,True,True,True,True,True,True,True,True,False
sub-B61108742,True,False,True,True,True,True,True,True,True,True,False
sub-B63969700,True,True,True,False,True,True,True,True,True,True,False
sub-B69162123,True,True,True,True,False,True,True,True,True,True,False
sub-B75956106,True,True,True,True,True,True,False,True,True,True,False
sub-B76622237,True,False,True,True,True,True,True,True,True,True,False
sub-B80467260,False,False,True,True,True,True,True,True,True,True,False
sub-B85841286,True,True,True,True,False,True,True,True,True,True,False
sub-B85877142,True,False,True,True,True,True,True,True,True,True,False
sub-B86064379,False,True,True,True,True,True,True,True,True,True,False
sub-B86310886,True,False,True,True,True,True,True,True,True,True,False
sub-B88474832,True,True,True,True,True,True,True,False,True,True,False
sub-B91277044,True,False,True,True,True,True,True,True,True,True,False
sub-B92672537,False,False,True,True,True,True,True,True,True,True,False
sub-B92982435,True,False,True,True,True,True,True,True,True,True,False
sub-B93794716,True,False,True,True,False,True,True,True,True,True,False
sub-B94897753,True,False,True,True,True,True,True,True,True,True,False
sub-B96690951,True,True,True,True,True,True,True,False,True,True,False
sub-B96962266,True,False,True,True,True,True,True,True,True,True,False
sub-B97039175,False,True,True,True,True,True,True,True,True,True,False
sub-B98111942,False,False,True,True,True,True,True,True,True,True,False
